my internal group id,group name,github url,# of projects,# of groups,contains projects,,description,databases,frameworks & tools,,,,,,,,,languages,,,,,,,,,,,,,,,,,
,TOTAL,,96,33,year start,year end,,,asp,asp.net,django,node,express,angular,jekyll,jquery,bootstrap,html,css,sass,python,java,php,bash,vb.net,c#,sql,js,ruby,ts,yaml,vbscript,vimscr,c,mumps
algorithm-vis,algorithm visualization tools,,2,1,2004,2004,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
alina,alinaavanesyan.com,,1,1,2017-2,9999,,,,,,,,,x,x,x,x,x,x,,,,,,,,x,x,,x,,,,
asp.net-controls,asp.net webcontrols,,1,1,2006,2007,,,,x,,,,,,,,x,x,,,,,,,x,,x,,,,,,,
avocado,avocado e-discovery,,1,1,2011,2012,,mysql,,,,,,,,,,x,x,,x,x,x,x,,,x,x,,,,,,,
blog-crawler,blog crawler (MA thesis),,1,1,2007,2007,,sql server,,,,,,,,,,,,,,,,,,x,x,,,,,,,,
ca-programs,ca online community websites,,3,1,2003,2004,,sql server,x,,,,,,,,,x,x,,,,,,,,x,x,,,,x,,,
codegenerator,ORM + code generator (MS thesis),,1,1,2006,2008,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,
csm,collegiate sports online,,2,1,2003,2005,,sql server,x,x,,,,,,,,x,x,,,,,,,x,x,x,,,,x,,,
fellowship,jourpr-fellowship,,1,1,2014,2014,,mysql,,,,,,,,,,,,,x,,,x,,,x,,,,,,,,
fortepan-ia,fortepan-ia,,1,1,2015,9999,,mysql,,,,,,,,x,,x,x,,x,,x,,,,x,x,,,,,,,
ir-asu,ir-asu,,1,1,2007,2007,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
ir-uni,ir-uni,,1,1,2007,2008,,sql server,,x,,,,,,,,x,x,,,,,,,x,x,x,,,,,,,
ir-uni-medline,giggle,,1,1,2005,2005,,,,,,,,,,,,x,x,,,,,,,,,x,,,,,,x,x
jobcenter,career web apps,,3,1,2002-4,2010,,sql server,x,x,,,,,,,,x,x,,,,,,,x,x,x,,,,x,,,
kronofoto,kronofoto,,1,1,2015,9999,,mysql,,,x,,,,,,,x,x,,x,,,x,,,x,x,,,,,,,
phd,jourpr-phd,,1,1,2013,2013,,mysql,,,,,,,,,,x,x,,x,,x,x,,,x,,,,,,,,
playerc,playerc,,1,1,2004,2007,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
prssa-cms,prssa-cms,,2,1,2002-3,2010,,sql server,x,x,,,,,,,,x,x,,,,,,,x,x,x,,,,,,,
static-websites,static websites (33),,33,1,1999,2012,,,x,x,,,,,,,,x,x,,,,x,,,x,,x,,,,x,,,
this,this,,1,1,2017-3,9999,,mongodb,,,,x,x,x,,x,x,x,x,x,,,,,,,,x,,x,,,,,
twentiment,twentiment,,1,1,2012,2012,,sql server,,,,,,,,,,,,,,,,,,x,x,,,,,,,,
uni-accounts,uni-accounts,,1,1,2003,2007,,sql server,,x,,,,,,,,x,x,,,,,,x,x,x,x,,,,,,,
uni-alumniassoc,uni-alumniassoc,,1,1,2005,2006,,sql server,,x,,,,,,,,x,x,,,,,,x,x,x,x,,,,,,,
uni-chfatech,uni-chfatech,,1,1,2002-2,2003,,access,x,,,,,,,,,x,x,,,,,,,,x,x,,,,x,,,
uni-foundation,uni-foundation-cms,,1,1,2008,2008,,sql server,,x,,,,,,,,x,x,,,,,,x,x,x,x,,,,,,,
uni-printservices,uni-printservices,,1,1,2003,2003,,sql server,x,,,,,,,,,x,x,,,x,,,,,x,x,,,,x,,,
uni-sergey,sergey.cs.uni.edu,,1,1,2015,9999,,,,,,,,,,,,x,x,,x,,x,x,,,,,,,,,,,
vim-journal,vim-journal,,1,1,2017,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
vim-timestamp,vim-timestamp,,1,1,2017,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
vim-write,vim-write,,1,1,2017,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
websites-cms,other websites + cms (25),,25,1,2002-1,2012,,"sql server, access",x,x,,,,,,,,x,x,,,,x,,x,x,x,x,,,,,x,,
wikipedia-knn,wikipedia-knn,,1,1,2007,2007,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,
witness-id,witness-id,,1,1,2006,2007,,sql server,,x,,,,,,,,x,x,,,,,,,x,x,x,,,,,,,